INACCEPTABLE | aaaaaaaaa
INACCEPTABLE | abcabcabc
INACCEPTABLE | tel 229339111
INACCEPTABLE |  k
INACCEPTABLE | pewpewpew
INACCEPTABLE | pewpew:885522226;?body=
  ACCEPTABLE | tel:+88005553535;?body=
INACCEPTABLE | 
  ACCEPTABLE | fax:+88005553535;?body=
INACCEPTABLE | garbage
INACCEPTABLE | tel:+88005448535;?bo=
  ACCEPTABLE | sms:+88005553535;?body=cheekibreeki
INACCEPTABLE | 
  ACCEPTABLE | sms:+88005553539;?body=ch45ee,k.i%b!re?eAAAki
INACCEPTABLE | 
  ACCEPTABLE | sms:+88005553539,+78005553636;?body=ch45ee,k.i%b!re?eAAAki
INACCEPTABLE | 
  ACCEPTABLE | sms:+88005553539,+88005553539,+88005553539;?body=ch45ee,k.i%b!re?eAAAki
INACCEPTABLE | 
